[2025-03-13 07:15:05,364][__main__][INFO] - Computed throughput reward (raw): 2.69
[2025-03-13 07:15:05,365][__main__][INFO] - Computed throughput reward (raw): 2.69
[2025-03-13 07:15:05,366][__main__][INFO] - Computed throughput reward (raw): 2.75
[2025-03-13 07:15:05,367][__main__][INFO] - Computed throughput reward (raw): 2.75
[2025-03-13 07:15:05,368][__main__][INFO] - Computed throughput reward (raw): 2.95
[2025-03-13 07:15:05,369][__main__][INFO] - Computed throughput reward (raw): 2.95
[2025-03-13 07:15:05,370][__main__][INFO] - Computed throughput reward (raw): 2.91
[2025-03-13 07:15:05,371][__main__][INFO] - Computed throughput reward (raw): 2.91
[2025-03-13 07:15:05,372][__main__][INFO] - Computed throughput reward (raw): 3.36
[2025-03-13 07:15:05,373][__main__][INFO] - Computed throughput reward (raw): 3.36
[2025-03-13 07:15:05,374][__main__][INFO] - Computed throughput reward (raw): 3.56
[2025-03-13 07:15:05,375][__main__][INFO] - Computed throughput reward (raw): 3.56
[2025-03-13 07:15:05,376][__main__][INFO] - Computed throughput reward (raw): 3.37
[2025-03-13 07:15:05,377][__main__][INFO] - Computed throughput reward (raw): 3.37
[2025-03-13 07:15:05,378][__main__][INFO] - Computed throughput reward (raw): 3.05
[2025-03-13 07:15:05,379][__main__][INFO] - Computed throughput reward (raw): 3.05
[2025-03-13 07:15:05,380][__main__][INFO] - Computed throughput reward (raw): 2.94
[2025-03-13 07:15:05,381][__main__][INFO] - Computed throughput reward (raw): 2.94
[2025-03-13 07:15:05,382][__main__][INFO] - Computed throughput reward (raw): 2.72
[2025-03-13 07:15:05,383][__main__][INFO] - Computed throughput reward (raw): 2.72
[2025-03-13 07:15:05,384][__main__][INFO] - Computed throughput reward (raw): 2.69
[2025-03-13 07:15:05,385][__main__][INFO] - Computed throughput reward (raw): 2.69
[2025-03-13 07:15:05,386][__main__][INFO] - Computed throughput reward (raw): 2.47
[2025-03-13 07:15:05,387][__main__][INFO] - Computed throughput reward (raw): 2.47
