[2025-03-13 05:54:15,798][__main__][INFO] - Iteration: 131	Episode Reward: 588.75	Moving Avg Reward: 591.42
[2025-03-13 05:54:16,005][__main__][INFO] - Iteration: 132	Episode Reward: 592.66	Moving Avg Reward: 591.34
[2025-03-13 05:54:16,212][__main__][INFO] - Iteration: 133	Episode Reward: 592.48	Moving Avg Reward: 591.43
[2025-03-13 05:54:16,419][__main__][INFO] - Iteration: 134	Episode Reward: 588.65	Moving Avg Reward: 591.42
[2025-03-13 05:54:16,509][__main__][INFO] - Batch update (after 5 episodes): Loss = -0.0218
[2025-03-13 05:54:16,717][__main__][INFO] - Iteration: 135	Episode Reward: 588.75	Moving Avg Reward: 591.03
[2025-03-13 05:54:16,924][__main__][INFO] - Iteration: 136	Episode Reward: 592.60	Moving Avg Reward: 591.03
[2025-03-13 05:54:17,130][__main__][INFO] - Iteration: 137	Episode Reward: 592.59	Moving Avg Reward: 591.42
[2025-03-13 05:54:17,337][__main__][INFO] - Iteration: 138	Episode Reward: 588.82	Moving Avg Reward: 591.05
[2025-03-13 05:54:17,544][__main__][INFO] - Iteration: 139	Episode Reward: 592.48	Moving Avg Reward: 591.04
[2025-03-13 05:54:17,638][__main__][INFO] - Batch update (after 5 episodes): Loss = -0.0218
[2025-03-13 05:54:17,847][__main__][INFO] - Iteration: 140	Episode Reward: 594.20	Moving Avg Reward: 591.20
[2025-03-13 05:54:18,054][__main__][INFO] - Iteration: 141	Episode Reward: 589.30	Moving Avg Reward: 591.25
[2025-03-13 05:54:18,261][__main__][INFO] - Iteration: 142	Episode Reward: 590.44	Moving Avg Reward: 591.03
[2025-03-13 05:54:18,468][__main__][INFO] - Iteration: 143	Episode Reward: 594.29	Moving Avg Reward: 591.21
[2025-03-13 05:54:18,675][__main__][INFO] - Iteration: 144	Episode Reward: 589.04	Moving Avg Reward: 591.25
[2025-03-13 05:54:18,769][__main__][INFO] - Batch update (after 5 episodes): Loss = -0.0218
[2025-03-13 05:54:18,978][__main__][INFO] - Iteration: 145	Episode Reward: 589.01	Moving Avg Reward: 591.28
[2025-03-13 05:54:19,184][__main__][INFO] - Iteration: 146	Episode Reward: 593.80	Moving Avg Reward: 591.40
